#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	ExtractionBlank_S77_R1_cat_kneaddata	Serife-CON1_S49_R1_cat_kneaddata	Serife-CON2_S50_R1_cat_kneaddata	Serife-CON3_S51_R1_cat_kneaddata	Serife-CON4_S52_R1_cat_kneaddata	Serife-CON5_S53_R1_cat_kneaddata	Serife-CON6_S54_R1_cat_kneaddata	Serife-KD1_S69_R1_cat_kneaddata	Serife-KD2_S70_R1_cat_kneaddata	Serife-KD3_S71_R1_cat_kneaddata	Serife-KD4_S72_R1_cat_kneaddata	Serife-KD5_S73_R1_cat_kneaddata	Serife-KD6_S74_R1_cat_kneaddata	Serife-KD7_S75_R1_cat_kneaddata	Serife-KD8_S76_R1_cat_kneaddata	Serife-MMKD1_S61_R1_cat_kneaddata	Serife-MMKD2_S62_R1_cat_kneaddata	Serife-MMKD3_S63_R1_cat_kneaddata	Serife-MMKD4_S64_R1_cat_kneaddata	Serife-MMKD5_S65_R1_cat_kneaddata	Serife-MMKD6_S66_R1_cat_kneaddata	Serife-MMKD7_S67_R1_cat_kneaddata	Serife-MMKD8_S68_R1_cat_kneaddata	Serife-SCOP1_S55_R1_cat_kneaddata	Serife-SCOP2_S56_R1_cat_kneaddata	Serife-SCOP3_S57_R1_cat_kneaddata	Serife-SCOP4_S58_R1_cat_kneaddata	Serife-SCOP5_S59_R1_cat_kneaddata	Serife-SCOP6_S60_R1_cat_kneaddata
k__Bacteria|p__Actinobacteria|c__CFGB2992	0.0	0.06451	0.47928	0.01037	0.19727	0.06065	0.64767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00546	0.0	0.0	0.0	0.0	0.0	0.23904	4.89849	0.06123	0.51544	0.10876
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0.0	0.04012	0.0	0.0	0.0366	0.37329	1.3802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19675	0.0938	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB74566	0.0	0.03085	0.56586	0.60281	0.15903	1.0046	0.92771	0.1396	0.33136	0.08478	0.44318	0.04658	0.016	0.07032	0.03386	0.28129	0.30593	0.05736	0.32806	0.80582	0.16491	0.36782	0.32951	0.73706	0.04709	0.13872	0.06184	0.12876	0.05137
k__Bacteria|p__Proteobacteria|c__CFGB2404	0.0	0.02356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01819
k__Bacteria|p__Firmicutes|c__CFGB1260	0.0	0.01794	0.0	0.0	0.0	0.17267	0.0	0.0	0.0	0.0	0.0044	0.08732	0.23941	0.03211	0.04513	0.0	0.02058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20442	0.0	0.3103	0.0
k__Bacteria|p__Firmicutes|c__CFGB9655	0.0	0.01758	0.0	0.77153	0.0	0.0	0.28421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.0	21.57481	18.40093	44.46598	26.21234	34.21213	30.07149	78.32905	74.05946	80.65303	59.37739	67.73523	65.61759	74.59221	76.67721	11.58371	24.89047	14.57355	16.58105	58.39161	32.82884	45.5364	30.77954	23.89742	19.68783	18.07301	11.10554	25.65382	20.33038
k__Bacteria|p__Verrucomicrobia|c__CFGB79351|o__OFGB79351	0.0	16.82823	0.0	5.67649	2.35218	22.54874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25562	0.0	0.0	1.3446	0.85268	0.11637
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	0.0	11.17393	14.97013	4.16449	9.7297	3.42023	9.37062	7.61289	8.04778	8.9291	9.00107	8.87251	13.4151	14.32143	7.45755	46.01794	29.36786	57.90902	46.00169	19.89998	43.8469	20.03639	36.11407	8.03488	8.01557	20.17835	7.03588	6.64982	30.7131
k__Bacteria|p__Bacteroidota|c__CFGB7536|o__OFGB7536	0.0	6.5312	0.83273	2.917	5.21452	0.0877	2.57769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.80152	0.89006	0.75943	0.5507	0.79297	0.22202
